Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
IdeaPad 110-17ACL,Lenovo,AMD A4-Series 7210 2.2GHz,4GB,500GB HDD,"17.3""",Windows,AMD Radeon R3,2.8,2,#REF!
Probook 640,HP,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.95,2,#REF!
Envy x360,HP,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.42,2,#REF!
Notebook 9,Samsung,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.0""",Windows,Intel HD Graphics 620,1.17,3,#REF!
ThinkPad T470s,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.32,2,#REF!
GS73VR Stealth,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD +  2TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.43,2,#REF!
Portege X30-D-10V,Toshiba,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.05,2,#REF!
Inspiron 7567,Dell,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,"15.6""",Linux,Nvidia GeForce GTX 1050Ti,2.62,2,#REF!
ProBook 450,HP,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 930MX,2.04,2,#REF!
Vostro 3568,Dell,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",Windows,AMD Radeon R5 M420X,2.18,2,#REF!
Latitude 5580,Dell,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,1.9,0,#REF!
XPS 13,Dell,Intel Core i7 7Y75 1.3GHz,8GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 615,1.24,2,#REF!
G701VO-IH74K (i7-6820HK/32GB/2x,Asus,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  256GB SSD,"17.3""",Windows,Nvidia GeForce GTX 980M,3.58,3,#REF!
XPS 13,Dell,Intel Core i7 7Y75 1.3GHz,16GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 615,1.22,1,#REF!
ThinkPad X1,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,256GB Flash Storage,"14.0""",Windows,Intel HD Graphics 620,1.13,2,#REF!
ThinkPad T570,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,512GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.95,3,#REF!
Gram 15Z970,LG,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.08,2,#REF!
Elitebook 820,HP,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.26,3,#REF!
Chromebook CB5-571-C1DZ,Acer,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB Flash Storage,"15.6""",Chrome OS,Intel HD Graphics,2.2,2,#REF!
IdeaPad Y700-15ISK,Lenovo,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.6,2,#REF!
Gram 14Z970,LG,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 620,0.98,2,#REF!
Latitude 5480,Dell,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.6,2,#REF!
Elitebook Folio,HP,Intel Core M 6Y75 1.2GHz,8GB,240GB SSD,"12.5""",Windows,Intel HD Graphics 515,1.09,2,#REF!
IdeaPad 510-15IKB,Lenovo,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 940MX,2.2,2,#REF!
ProBook 450,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 930MX,2.04,1,#REF!
Aspire E5-575,Acer,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.4,1,#REF!
ThinkPad 13,Lenovo,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.44,1,#REF!
Probook 430,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.49,1,#REF!
GE72VR 6RF,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1050 Ti,2.7,3,#REF!
Inspiron 7567,Dell,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.6,2,#REF!
GL62M 7RD,MSI,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.2,1,#REF!
